"","date","future expiration","adjusted close","expiration","strike","call/put","ask","bid","settlement price","ttm"
"4219",2014-11-10,2014-11-20,77.5,2014-11-17,77.5,"P","1.47","1.35",1.28,7
"4220",2014-11-10,2014-11-20,77.5,2014-11-17,77.5,"C","1.12","1.05",1.18,7
"4221",2014-11-10,2014-11-20,77.5,2014-11-14,77.5,"C","0.94","0.86",1.04,4
"4222",2014-11-11,2014-11-20,78,2014-11-17,78,"P","1.35","1.24",1.11,6
"4223",2014-11-11,2014-11-20,78,2014-11-17,78,"C","0.87","0.82",1.05,6
"4224",2014-11-11,2014-11-20,78,2014-11-14,78,"C","0.76","0.64",0.9,3
"4225",2014-11-12,2014-11-20,77,2014-11-17,77,"P","1.08","0.95",0.87,5
"4226",2014-11-12,2014-11-20,77,2014-11-17,77,"C","0.99","0.86",1.05,5
"4227",2014-11-12,2014-11-20,77,2014-11-14,77,"P","1.18","0",0.7,2
"4228",2014-11-12,2014-12-19,77,2014-11-21,77,"C","2","0",1.51,9
"4229",2014-11-13,2014-11-20,74,2014-11-17,74,"P","0.78","0.73",0.79,4
"4230",2014-11-13,2014-11-20,74,2014-11-17,74,"C","1.07","0.97",1,4
"4231",2014-11-13,2014-11-20,74,2014-11-14,74,"C","0.75","0",0.72,1
"4232",2014-11-14,2014-11-20,76,2014-11-17,76,"P","0.63","0.3",0.7,3
"4233",2014-11-14,2014-11-20,76,2014-11-17,76,"C","0.75","0.32",0.52,3
"4234",2014-11-14,2014-12-19,76,2014-11-28,76,"C","1.88","0",1.72,14
"4235",2014-11-14,2014-12-19,76,2014-11-21,76,"P","1.7","0",1.4,7
"4236",2014-11-17,2014-11-20,75.5,2014-11-17,75.5,"C","0.5","0",0.14,0
"4237",2014-11-18,2014-12-19,74.5,2014-11-28,74.5,"C","1.95","0",1.79,10
"4238",2014-11-19,2014-12-19,74.5,2014-11-21,74.5,"C","0.95","0",0.8,2
"4239",2014-11-20,2014-12-19,76,2014-11-28,76,"P","1.33","0",1.46,8
"4240",2014-11-20,2014-12-19,76,2014-11-28,76,"C","2.04","0",1.31,8
"4241",2014-11-20,2014-12-19,76,2014-11-21,76,"P","0.66","0",0.6,1
"4242",2014-11-26,2014-12-19,73.5,2014-11-28,73.5,"C","1.21","0",1.35,2
"4243",2014-12-01,2014-12-19,69,2014-12-16,69,"P","1.98","1.9",2.02,15
"4244",2014-12-01,2014-12-19,69,2014-12-16,69,"C","2.5","1.4",2.02,15
"4245",2014-12-02,2014-12-19,67,2014-12-16,67,"P","1.74","1.66",2.05,14
"4246",2014-12-02,2014-12-19,67,2014-12-16,67,"C","2.41","2.23",1.93,14
"4247",2014-12-02,2014-12-19,67,2014-12-05,67,"C","1.86","0",1.07,3
"4248",2014-12-03,2014-12-19,67.5,2014-12-16,67.5,"P","1.82","1.76",1.79,13
"4249",2014-12-03,2014-12-19,67.5,2014-12-16,67.5,"C","1.72","1.66",1.67,13
"4250",2014-12-04,2014-12-19,67,2014-12-12,67,"P","1.76","0",1.46,8
"4251",2014-12-04,2014-12-19,67,2014-12-12,67,"C","2.01","0",1.27,8
"4252",2014-12-05,2014-12-19,66,2014-12-16,66,"P","1.62","1.53",1.5,11
"4253",2014-12-05,2014-12-19,66,2014-12-16,66,"C","1.23","1.17",1.34,11
"4254",2014-12-05,2014-12-19,66,2014-12-12,66,"C","1.11","0",1.19,7
"4255",2014-12-08,2014-12-19,63,2014-12-16,63,"P","1.49","1.43",1.45,8
"4256",2014-12-08,2014-12-19,63,2014-12-16,63,"C","1.45","1.42",1.5,8
"4257",2014-12-08,2014-12-19,63,2014-12-12,63,"C","1.31","0.3",0.99,4
"4258",2014-12-09,2015-01-20,64,2014-12-19,64,"P","2.5","0",1.61,10
"4259",2014-12-09,2014-12-19,64,2014-12-16,64,"P","1.74","1.62",1.38,7
"4260",2014-12-09,2014-12-19,64,2014-12-16,64,"C","1","0.89",1.2,7
"4261",2014-12-10,2014-12-19,61,2014-12-16,61,"P","1.79","0.12",1.31,6
"4262",2014-12-10,2014-12-19,61,2014-12-16,61,"C","1.37","0.98",1.25,6
"4263",2014-12-10,2014-12-19,61,2014-12-12,61,"P","1.01","0.51",0.94,2
"4264",2014-12-11,2014-12-19,60,2014-12-16,60,"P","1.83","1.63",1.17,5
"4265",2014-12-11,2014-12-19,60,2014-12-16,60,"C","0.92","0.82",1.12,5
"4266",2014-12-11,2014-12-19,60,2014-12-12,60,"P","1.21","0.36",0.75,1
"4267",2014-12-11,2014-12-19,60,2014-12-12,60,"C","0.5","0",0.7,1
"4268",2014-12-12,2014-12-19,58,2014-12-16,58,"P","1.44","1.3",1.13,4
"4269",2014-12-12,2014-12-19,58,2014-12-16,58,"C","0.9","0.83",0.94,4
"4270",2014-12-15,2014-12-19,56,2014-12-16,56,"P","1.13","0.98",0.83,1
"4271",2014-12-15,2014-12-19,56,2014-12-16,56,"C","0.51","0.48",0.74,1
"4272",2014-12-16,2014-12-19,56,2014-12-16,56,"P","1.25","0.21",0.07,0
"4273",2014-12-16,2014-12-19,56,2014-12-16,56,"C","0.13","0.06",0,0
"4274",2014-12-24,2015-01-20,56,2014-12-26,56,"P","1.88","0",0.89,2
"4275",2014-12-24,2015-01-20,56,2014-12-26,56,"C","1","0.32",0.73,2
"4276",2014-12-30,2015-01-20,54,2015-01-14,54,"P","2.39","1.9",2.01,15
"4277",2014-12-30,2015-01-20,54,2015-01-14,54,"C","2.08","1.09",2.13,15
"4278",2014-12-30,2015-01-20,54,2015-01-02,54,"C","1.08","0",0.93,3
"4279",2015-01-02,2015-01-20,52.5,2015-01-14,52.5,"C","2.2","0",2.05,12
"4280",2015-01-02,2015-01-20,52.5,2015-01-02,52.5,"P","0.07","0",0,0
"4281",2015-01-05,2015-01-20,50,2015-01-14,50,"P","1.89","1.7",1.86,9
"4282",2015-01-05,2015-01-20,50,2015-01-14,50,"C","1.95","1.7",1.9,9
"4283",2015-01-06,2015-01-20,48,2015-01-14,48,"P","1.63","1.57",1.58,8
"4284",2015-01-06,2015-01-20,48,2015-01-14,48,"C","1.64","1.58",1.51,8
"4285",2015-01-06,2015-01-20,48,2015-01-09,48,"P","1.25","0",1.11,3
"4286",2015-01-07,2015-01-20,48.5,2015-01-14,48.5,"C","1.7","0",1.48,7
"4287",2015-01-07,2015-01-20,48.5,2015-01-09,48.5,"C","2.5","0",0.96,2
"4288",2015-01-08,2015-01-20,49,2015-01-14,49,"P","1.37","1.13",1.36,6
"4289",2015-01-08,2015-01-20,49,2015-01-14,49,"C","1.23","1.07",1.15,6
"4290",2015-01-09,2015-01-20,48.5,2015-01-14,48.5,"P","1.75","0.3",1.15,5
"4291",2015-01-09,2015-01-20,48.5,2015-01-14,48.5,"C","1","0.8",1.01,5
"4292",2015-01-12,2015-01-20,46,2015-01-14,46,"P","1.2","0.8",0.81,2
